a,b,country_a,country_b,same_country,n_coop_partners,score_coop_partners,n_adversaries,score_adversaries,coop_partners,adversaries
Amirante clan,Sibillo clan,,,,1,2,1,1,"[""'Ndrina Giuliano""]",['Clan Mazzarella']
Al-Qaeda,Harakat Hezbollah al-Nujaba,Saudi Arabia,,,1,1,2,2,['Houthis'],"['Al-Nusra Front', 'Islamic State']"
18th Street Gang,South Pacific Cartel,United States,Mexico,False,1,1,2,2,['Beltrán-Leyva Organization'],"['Gulf Cartel', 'Sinaloa Cartel']"
Aryan Brotherhood,Red Scorpions,United States,Canada,False,1,2,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Chicanos Motorcycle Club,Loners Motorcycle Club,Germany,Canada,False,1,2,1,1,['Bandidos Motorcycle Club'],['Hells Angels Motorcycle Club']
Aprea-Cuccaro clan,Mallardo clan,Italy,Italy,True,1,2,1,1,['Secondigliano Alliance'],['Clan Mazzarella']
Annihilators Motorcycle Club,Breed Motorcycle Club,Canada,United States,False,1,2,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
19th of April Movement,Oficina de Envigado,Colombia,Colombia,True,1,2,1,1,['Cartel de Medellín'],['Cartel de Medellín']
Cárteles Unidos,Los Choneros,Mexico,Ecuador,False,1,2,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Artistas Asesinos,La Línea,Mexico,Mexico,True,1,1,1,2,['Los Mexicles'],['Los Mexicles']
18th Street Gang,White Fence,United States,United States,True,1,1,2,2,['Mexican Mafia'],"['Armenian Power', 'Norteños']"
Alfieri clan,Clan Magliulo,Italy,Italy,True,1,1,1,2,['Clan dei Casalesi'],['Moccia clan']
Galloping Goose Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
'Ndrina Saraceno,'Ndrina Serraino,,Italy,,2,2,1,1,"[""'Ndrina Condello"", ""'Ndrina Imerti""]","[""'Ndrina Barreca""]"
Comando Classe A,Tren de Aragua,Brazil,Venezuela,False,1,2,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
People Nation,Taylor Street Jousters,United States,United States,True,1,1,2,2,['Almighty Gaylords Nation'],"['Black Gangster Disciples Nation', 'Simon City Royals']"
American Mafia,Clan Matrone,United States,Italy,False,1,2,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Kurdistan Workers' Party,Palestinian Islamic Jihad,Turkey,Palestine,False,2,2,1,1,"['Democratic Front for the Liberation of Palestine', 'Popular Front for the Liberation of Palestine']",['Islamic State']
Almighty Black P. Stone Nation,Trinitarios,United States,United States,True,1,1,2,2,['Bloods'],"['Black Gangster Disciples Nation', 'Crips']"
Juárez Cartel,Los Rojos,Mexico,Mexico,True,1,1,2,2,['Sinaloa Cartel'],"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']"
American Guards,O'Connell Guards,,,,2,2,1,1,"['Atlantic Guards', 'Bowery Boys']",['Dead Rabbits']
856 Gang,Wolfpack Alliance,Canada,Canada,True,2,2,1,1,"['Hells Angels Motorcycle Club', 'Red Scorpions']",['United Nations (gang)']
Nuova Camorra Organizzata,Remo Lecce Libera,Italy,,,1,1,1,2,"[""'Ndrangheta""]",['Sacra Corona Unita']
Gypsy Joker Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,2,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Comanchero Motorcycle Club,Diablos Motorcycle Club,Australia,United States,False,1,1,1,2,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
10th & Oregon Crew,Philadelphia Greek Mob,United States,United States,True,1,2,1,1,['Philadelphia crime family'],['Philadelphia crime family']
Almighty Saints,Bloods,United States,United States,True,1,1,1,2,['Latin Kings'],['Black Gangster Disciples Nation']
Bandidos Motorcycle Club,Devils Diciples Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Black Pistons Motorcycle Club,Mongols MC,Germany,United States,False,1,2,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Aryan Brotherhood of Texas,Hells Angels Motorcycle Club,United States,United States,True,1,1,1,2,['Mexican Mafia'],['Aryan Brotherhood']
Artistas Asesinos,Los Rojos,Mexico,Mexico,True,2,2,1,1,"['Los Mexicles', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Loners Motorcycle Club,United Nations (gang),Canada,Canada,True,1,2,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Black Army,Rock Machine Motorcycle Club,,Canada,,1,1,2,2,['Black Jackets'],"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Bonde dos 40,Massa Carcerária,Brazil,Brazil,True,1,1,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Aryan Brotherhood,Diablos Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
10th & Oregon Crew,Black Mafia,United States,United States,True,1,1,1,2,['Philadelphia crime family'],['Philadelphia crime family']
Bonanno crime family,Mexican Mafia,United States,United States,True,1,2,1,1,['Gambino crime family'],['Bloods']
Devils Diciples Motorcycle Club,Diablos Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Barrio Azteca,South Pacific Cartel,United States,Mexico,False,2,2,1,1,"['Beltrán-Leyva Organization', 'Los Zetas']",['Sinaloa Cartel']
Galloping Goose Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Diablos Motorcycle Club,Galloping Goose Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Los Angeles crime family,Rochester crime family,United States,United States,True,1,2,1,1,['Buffalo crime family'],['Buffalo crime family']
Mara Salvatrucha,Venice 13,United States,United States,True,1,1,2,2,['Mexican Mafia'],"['18th Street Gang', 'Crips']"
Black Gangster Disciples Nation,Harrison Gents,United States,,,1,1,2,2,['Simon City Royals'],"['Latin Eagles', 'Taylor Street Jousters']"
Comanchero Motorcycle Club,Satan's Choice Motorcycle Club,Australia,Canada,False,1,1,1,2,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
18th Street Gang,Los Mexicles,United States,Mexico,False,1,2,1,1,['Mexican Mafia'],['Gulf Cartel']
Los Negros,Los Talibanes,Mexico,Mexico,True,1,2,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
American Guards,True Blue Americans,,,,2,2,1,1,"['Atlantic Guards', 'Bowery Boys']",['Dead Rabbits']
Amirante clan,Clan Brunetti,,,,1,2,1,1,"[""'Ndrina Giuliano""]",['Clan Mazzarella']
Cártel de Caborca,Tren de Aragua,Mexico,Venezuela,False,1,1,1,2,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
El Forastero Motorcycle Club,Hell's Henchmen MC,United States,,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
'Ndrina Mammoliti,'Ndrina Morabito,Italy,Italy,True,2,2,1,1,"[""'Ndrina Mazzaferro"", 'Basilischi']","[""'Ndrina Piromalli""]"
'Ndrina Accorinti,'Ndrina Bonavota,Italy,Italy,True,1,2,1,1,"[""'Ndrina Mancuso""]","[""'Ndrina Mancuso""]"
Los Negros,Nazi Lowriders,Mexico,United States,False,1,2,1,1,['Mexican Mafia'],['Mara Salvatrucha']
Bacon Brothers,Brothers Keepers,Canada,Canada,True,2,2,1,1,"['Hells Angels Motorcycle Club', 'Wolfpack Alliance']",['United Nations (gang)']
Loners Motorcycle Club,New Zealand Nomads,Canada,New Zealand,False,2,2,1,1,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Gulf Cartel,Playboys (gang),Mexico,United States,False,2,2,1,1,"['Mara Salvatrucha', 'Mexican Mafia']",['18th Street Gang']
La Familia Michoacana,Logan Heights Gang,Mexico,United States,False,2,2,1,1,"['18th Street Gang', 'Tijuana Cartel']",['Cártel de Jalisco Nueva Generación']
Clan Licciardi,Clan Misso,Italy,Italy,True,1,1,2,2,"[""'Ndrina Giuliano""]","[""'Ndrina Giuliano"", 'Lo Russo clan']"
Black Pistons Motorcycle Club,Gypsy Joker Motorcycle Club,Germany,United States,False,1,2,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Independent Cartel of Acapulco,Tijuana Cartel,Mexico,Mexico,True,2,2,1,1,"['Beltrán-Leyva Organization', 'Guerreros Unidos']",['Sinaloa Cartel']
Sinaloa Cartel,Temple Street gang,Mexico,United States,False,2,2,1,1,"['Mara Salvatrucha', 'Mexican Mafia']",['18th Street Gang']
Bonanno crime family,Genovese crime family New Jersey faction,United States,United States,True,2,2,1,1,"['Lucchese crime family', 'Lucchese crime family New Jersey faction']",['Gambino crime family']
'Ndrina Rosmini,'Ndrina Saraceno,Italy,,,2,2,1,1,"[""'Ndrina Condello"", ""'Ndrina Imerti""]","[""'Ndrina Barreca""]"
Fuerza Anti-Unión,Juárez Cartel,Mexico,Mexico,True,1,2,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Devils Diciples Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Mara Salvatrucha,OVS,United States,United States,True,1,1,2,2,['Mexican Mafia'],"['Bloods', 'Crips']"
Beltrán-Leyva Organization,Norteños,Mexico,United States,False,1,1,1,2,['18th Street Gang'],['Mara Salvatrucha']
Chicanos Motorcycle Club,Satudarah,Germany,Netherlands,False,1,2,1,1,['Bandidos Motorcycle Club'],['Hells Angels Motorcycle Club']
Los Negros,Temple Street gang,Mexico,United States,False,2,2,1,1,"['Mara Salvatrucha', 'Mexican Mafia']",['18th Street Gang']
Logan Heights Gang,Los Rojos,United States,Mexico,False,1,1,2,2,['Mexican Mafia'],"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']"
Clan Gionta,Clan Matrone,Italy,Italy,True,1,2,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Clan Brunetti,Sibillo clan,,,,1,2,1,1,"[""'Ndrina Giuliano""]",['Clan Mazzarella']
El Forastero Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Clan D'Alessandro,Clan Galasso di Poggiomarino,Italy,Italy,True,2,2,1,1,"['Cesarano clan', 'Nuova Famiglia']",['Alfieri clan']
18th Street Gang,OVS,United States,United States,True,1,1,2,2,['Mexican Mafia'],"['Bloods', 'Crips']"
Cártel de Jalisco Nueva Generación,Martinez Familia Sangeros,Mexico,Puerto Rico,False,1,2,1,1,['Gulf Cartel'],['Gulf Cartel']
Cártel de Tláhuac,Juárez Cartel,Mexico,Mexico,True,2,2,1,1,"['Cártel de Jalisco Nueva Generación', 'La Familia Michoacana']",['Sinaloa Cartel']
Bloods,Genovese crime family,United States,United States,True,2,2,1,1,"['Gambino crime family', 'Latin Kings']",['Bonanno crime family']
Cárteles Unidos,Los Mexicles,Mexico,Mexico,True,1,2,1,1,['Sinaloa Cartel'],['Gulf Cartel']
Comando Vermelho,National Liberation Army (Colombia),Brazil,Colombia,False,1,2,1,1,['Revolutionary Armed Forces of Colombia'],['Tren de Aragua']
Los Talibanes,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,1,2,['Gulf Cartel'],['Cártel de Jalisco Nueva Generación']
Chiapas–Guatemala Cartel,Cártel de Caborca,Mexico,Mexico,True,1,1,2,2,['Cártel de Jalisco Nueva Generación'],"['La Mayiza', 'Sinaloa Cartel']"
Martinez Familia Sangeros,Oficina de Envigado,Puerto Rico,Colombia,False,2,2,1,1,"['American Mafia', 'Los Pepes']",['Cartel de Medellín']
Forty-Two Gang,New Orleans crime family,United States,United States,True,1,2,1,1,['Chicago Outfit'],['Chicago Outfit']
Indian Posse,Satan's Choice Motorcycle Club,Canada,Canada,True,2,2,1,1,"['Hells Angels Motorcycle Club', 'West End Gang']",['Hells Angels Motorcycle Club']
Cártel de los Rojos,Grupo Flechas,Mexico,Mexico,True,1,1,1,2,['Los Zetas'],['Cártel de Jalisco Nueva Generación']
Cártel de Santa Rosa de Lima,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,1,2,['Gulf Cartel'],['Cártel de Jalisco Nueva Generación']
Devils Diciples Motorcycle Club,Galloping Goose Motorcycle Club,United States,United States,True,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Almighty Black P. Stone Nation,United Blood Nation,United States,United States,True,1,1,1,2,['Bloods'],['Crips']
Dark Circle,Pagan's Motorcycle Club,,United States,,1,2,1,1,['Rock Machine Motorcycle Club'],['Hells Angels Motorcycle Club']
Bandidos Motorcycle Club,Hell's Henchmen MC,United States,,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Diablos Motorcycle Club,Para-Dice Riders,United States,,,2,2,1,1,"['Hells Angels Motorcycle Club', ""Satan's Choice Motorcycle Club""]",['Hells Angels Motorcycle Club']
Amigos dos Amigos,Sindicato do Crime do Rio Grande do Norte,Brazil,Brazil,True,1,2,1,1,['Bonde dos 40'],['Comando Vermelho']
Clan Mazzarella,Lo Russo clan,Italy,Italy,True,1,1,2,2,['Clan Di Lauro'],"['Clan Licciardi', 'Secondigliano Alliance']"
Fuerza Anti-Unión,Knights Templar Cartel,Mexico,Mexico,True,1,2,1,1,['Cártel de Jalisco Nueva Generación'],['La Familia Michoacana']
Pirus,Tiny Rascal Gang,United States,United States,True,1,1,1,2,['Crips'],['Crips']
DeCavalcante crime family,Genovese crime family New Jersey faction,United States,United States,True,2,2,1,1,"['Lucchese crime family', 'Lucchese crime family New Jersey faction']",['Gambino crime family']
Asian Boyz,Black Gangster Disciples Nation,United States,United States,True,1,1,1,2,['Crips'],['Bloods']
Loners Motorcycle Club,Red Scorpions,Canada,Canada,True,1,2,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan Lubrano-Ligato,Nuova Camorra Organizzata,Italy,Italy,True,1,1,1,2,['Banda della Magliana'],['Clan dei Casalesi']
Clan Matrone,Clan Nuvoletta,Italy,Italy,True,1,2,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Forty-Two Gang,Milwaukee crime family,United States,United States,True,1,2,1,1,['Chicago Outfit'],['Chicago Outfit']
Clan D'Alessandro,Clan Licciardi,Italy,Italy,True,1,2,1,1,['Clan Di Lauro'],['Alfieri clan']
Juárez Cartel,Tren de Aragua,Mexico,Venezuela,False,1,1,1,2,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
La Familia Michoacana,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,1,2,['Gulf Cartel'],['Cártel de Jalisco Nueva Generación']
Cártel de Caborca,Los Mexicles,Mexico,Mexico,True,1,2,1,1,['Cártel de Jalisco Nueva Generación'],['Gulf Cartel']
Hell's Henchmen MC,Red Devils Motorcycle Club,,Sweden,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Hamas,Kurdistan Workers' Party,Palestine,Turkey,False,1,1,1,2,['Popular Front for the Liberation of Palestine'],['Islamic State']
Bala na Cara,Guardiões do Estado,Brazil,Brazil,True,1,1,1,2,['Comando Vermelho'],['Primeiro Comando da Capital']
Cártel de Tláhuac,Los Zetas,Mexico,Mexico,True,1,2,1,1,['La Familia Michoacana'],['Sinaloa Cartel']
18th Street Gang,Cárteles Unidos,United States,Mexico,False,1,1,2,2,['La Familia Michoacana'],"['Gulf Cartel', 'Los Zetas']"
Al-Shabaab,Hamas,Somalia,Palestine,False,1,1,1,2,['Houthis'],['Islamic State']
Los Mexicles,Los Ántrax,Mexico,Mexico,True,1,2,1,1,['Gente Nueva'],['La Línea']
Red Devils Motorcycle Club,Warlocks MC,Sweden,,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Clan Gionta,Moccia clan,Italy,Italy,True,1,1,1,2,['Nuova Famiglia'],['Alfieri clan']
Big Circle Gang,Bonanno crime family,China,United States,False,1,2,1,1,['Rizzuto crime family'],['Bloods']
Cartel de La Guajira,Los Rastrojos,Colombia,Colombia,True,1,1,1,2,['Autodefensas Unidas de Colombia'],['Clan del Golfo']
Desperados Motorcycle Club,Warlocks Motorcycle Club (Florida),,United States,,1,1,2,2,['Hells Angels Motorcycle Club'],"['Outlaws Motorcycle Club', ""Pagan's Motorcycle Club""]"
'Ndrina Fontana,'Ndrina Saraceno,,,,2,2,1,1,"[""'Ndrina Condello"", ""'Ndrina Imerti""]","[""'Ndrina Barreca""]"
Fuerza Anti-Unión,Los Viagras,Mexico,Mexico,True,1,2,1,1,['Cártel de Jalisco Nueva Generación'],['La Familia Michoacana']
Mongols MC,Sons of Satan Motorcycle Club,United States,United States,True,1,1,1,2,"[""Pagan's Motorcycle Club""]",['Hells Angels Motorcycle Club']
Comando Classe A,Família do Norte,Brazil,Brazil,True,1,1,1,2,['Revolutionary Armed Forces of Colombia'],['Comando Vermelho']
Independent Cartel of Acapulco,Juárez Cartel,Mexico,Mexico,True,2,2,1,1,"['Beltrán-Leyva Organization', 'Guerreros Unidos']",['Sinaloa Cartel']
Diablos Motorcycle Club,Warlocks MC,United States,,,1,1,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Bonde dos 40,Comando Classe A,Brazil,Brazil,True,1,1,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Barrio Azteca,Texas Syndicate,United States,United States,True,1,1,2,2,['Los Zetas'],"['Mexican Mafia', 'Puro Tango Blast']"
Commisso 'ndrina,Musitano crime family,Italy,Canada,False,2,2,1,1,"[""'Ndrina Ruga"", 'Hells Angels Motorcycle Club']",['Independent Soldiers']
Remo Lecce Libera,Società foggiana,,Italy,,1,1,1,2,"[""'Ndrangheta""]",['Sacra Corona Unita']
Almighty Black P. Stone Nation,Venice 13,United States,United States,True,1,1,2,2,['PlayBoys Gangster Crips'],"['18th Street Gang', 'Crips']"
Al-Qaeda,Liwa Fatemiyoun,Saudi Arabia,,,1,1,2,2,['Houthis'],"['Al-Nusra Front', 'Islamic State']"
Barrio Azteca,Mexikanemi,United States,United States,True,2,2,1,1,"['Juárez Cartel', 'Los Zetas']",['Puro Tango Blast']
Clan Gionta,Clan Licciardi,Italy,Italy,True,1,2,1,1,['Clan Nuvoletta'],['Alfieri clan']
Bandidos Motorcycle Club,Indian Posse,United States,Canada,False,1,1,2,2,['Hells Angels Motorcycle Club'],"['Hells Angels Motorcycle Club', 'White Boy Posse']"
Toonerville Rifa 13,White Fence,United States,United States,True,1,1,1,2,['Mexican Mafia'],['Armenian Power']
Los Negros,South Pacific Cartel,Mexico,Mexico,True,1,1,2,2,['Los Zetas'],"['Gulf Cartel', 'Sinaloa Cartel']"
La Familia Michoacana,Martinez Familia Sangeros,Mexico,Puerto Rico,False,1,2,1,1,['Gulf Cartel'],['Gulf Cartel']
Culver City Boys,Playboys (gang),United States,United States,True,1,1,2,2,['Mexican Mafia'],"['18th Street Gang', 'Venice Shoreline Crips']"
Breed Motorcycle Club,Gypsy Joker Motorcycle Club,United States,United States,True,1,2,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Mongols MC,White Fence,United States,United States,True,1,1,1,1,['Mexican Mafia'],['Norteños']
Mongols MC,Outcasts MC,United States,,,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Cannonball Motorcycle Club,Red Devils Motorcycle Club,Finland,Sweden,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Clan Gionta,Clan Mazzarella,Italy,Italy,True,1,1,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
East Side Longos,Mara Salvatrucha,,United States,,1,1,1,1,['Mexican Mafia'],['Tiny Rascal Gang']
Liga da Justiça,Sindicato do Crime do Rio Grande do Norte,Brazil,Brazil,True,1,1,1,1,['Terceiro Comando Puro'],['Comando Vermelho']
Bonde dos 13,Guardiões do Estado,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Barrio Azteca,Knights Templar Cartel,United States,Mexico,False,1,1,1,1,['Beltrán-Leyva Organization'],['Cártel de Jalisco Nueva Generación']
Avenues,Crips,United States,United States,True,1,1,1,1,['Sinaloa Cartel'],['18th Street Gang']
Black Jackets,Gremium Motorcycle Club,Germany,Germany,True,1,1,1,1,['Rock Machine Motorcycle Club'],['X-Team']
Coffin Cheaters,New Zealand Nomads,Australia,New Zealand,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Mongrel Mob']
Fob-killers (Alberta),Independent Soldiers,,Canada,,1,1,1,1,['United Nations (gang)'],['Red Scorpions']
Bonanno crime family,Tanglewood Boys,United States,United States,True,1,1,1,1,['Lucchese crime family'],['Genovese crime family']
Chiapas–Guatemala Cartel,Los Metros,Mexico,Mexico,True,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Tijuana Cartel,Toonerville Rifa 13,Mexico,United States,False,1,1,1,1,['Mexican Mafia'],['Mara Salvatrucha']
856 Gang,Satudarah,Canada,Netherlands,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Dirty Dozen Motorcycle Club,Galloping Goose Motorcycle Club,United States,United States,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Vagos Motorcycle Club']
Artistas Asesinos,Cártel de Colima,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Juárez Cartel']
Genovese crime family New Jersey faction,Velentzas Organization,United States,United States,True,1,1,1,1,['Lucchese crime family'],['Gambino crime family']
14K,Nazi Lowriders,China,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Big Circle Gang']
Palestinian Islamic Jihad,Wagner Group,Palestine,Russia,False,1,1,1,1,['Hamas'],['Islamic State']
Breed Motorcycle Club,Outcasts MC,United States,,,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Bandidos Motorcycle Club,Chosen Few Motorcycle Club,United States,United States,True,1,1,1,1,['Outlaws Motorcycle Club'],['Outlaws Motorcycle Club']
La Unión Tepito,Latin Kings,Mexico,United States,False,1,1,1,1,['Sinaloa Cartel'],['Tren de Aragua']
Artistas Asesinos,La Unión Tepito,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Comanchero Motorcycle Club,Manitoba Warriors,Australia,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
'Ndrina Grande Aracri,'Ndrina Maesano,Italy,Italy,True,1,1,1,1,"[""'Ndrina Arena""]","[""'Ndrina Arena""]"
Clan Gionta,Contini clan,Italy,Italy,True,1,1,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Clan De Luca Bossa,Contino,Italy,,,1,1,1,1,['Clan Marfella'],['Clan Lago']
Logan Heights Gang,White Fence,United States,United States,True,1,1,1,1,['Mexican Mafia'],['Norteños']
Chiapas–Guatemala Cartel,Los Lobos,Mexico,Ecuador,False,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Armenian Power,Los Rojos,United States,Mexico,False,1,1,1,1,['Mexican Mafia'],['Mara Salvatrucha']
856 Gang,Musitano crime family,Canada,Canada,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Independent Soldiers']
Cártel de Santa Rosa de Lima,Los Rojos,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
People Nation,Pirus,United States,United States,True,1,1,1,1,['Bloods'],['Crips']
Outcasts MC,Pagan's Motorcycle Club,,United States,,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Shinwa-kai,Yamaken-gumi,Japan,Japan,True,1,1,1,1,['Yamaguchi-gumi'],['Yamaguchi-gumi']
'Ndrina Condello,'Ndrina Iamonte,Italy,Italy,True,1,1,1,1,"[""'Ndrina Serraino""]","[""'Ndrina Barreca""]"
'Ndrina Grande Aracri,Oliverio,Italy,,,1,1,1,1,"[""'Ndrina Arena""]","[""'Ndrina Dragone""]"
Crips,Knights Templar Cartel,United States,Mexico,False,1,1,1,1,['Sinaloa Cartel'],['Mara Salvatrucha']
Mongols MC,White Boy Posse,United States,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Cártel de Jalisco Nueva Generación,Organización Beltrán Leyva,Mexico,,,1,1,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Chicago Outfit,Cotroni crime family,United States,Canada,False,1,1,1,1,['Bonanno crime family'],['Buffalo crime family']
Bonde dos 40,Família Terror do Amapá,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Outcasts MC,Rock Machine Motorcycle Club,,Canada,,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Barrio Azteca,Independent Cartel of Acapulco,United States,Mexico,False,1,1,1,1,['Beltrán-Leyva Organization'],['Sinaloa Cartel']
Iron Horsemen Motorcycle Club,White Boy Posse,United States,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Merciless Souls Motorcycle Club,Satan's Choice Motorcycle Club,,Canada,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Armenian Power,Temple Street gang,United States,United States,True,1,1,1,1,['Mexican Mafia'],['18th Street Gang']
Bloods,Colombo crime family,United States,United States,True,1,1,1,1,['Gambino crime family'],['Bonanno crime family']
10th & Oregon Crew,Lucchese crime family New Jersey faction,United States,United States,True,1,1,1,1,['Philadelphia crime family'],['Philadelphia crime family']
Hell's Henchmen MC,Original Red Devils Motorcycle Club,,Canada,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Manitoba Warriors,Pagan's Motorcycle Club,Canada,United States,False,1,1,1,1,['Rock Machine Motorcycle Club'],['Hells Angels Motorcycle Club']
Merciless Souls Motorcycle Club,Warlocks Motorcycle Club (Florida),,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Cotroni crime family,Los Angeles crime family,Canada,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Buffalo crime family']
Dhak-Duhre coalition,Sinaloa Cartel,,Mexico,,1,1,1,1,['United Nations (gang)'],['Wolfpack Alliance']
Colombo crime family,Genovese crime family New Jersey faction,United States,United States,True,1,1,1,1,['Lucchese crime family New Jersey faction'],['Gambino crime family']
Gulf Cartel,Norteños,Mexico,United States,False,1,1,1,1,['Latin Kings'],['18th Street Gang']
Imperial Gangsters,Satan Disciples,,,,1,1,1,1,['Spanish Gangster Disciples'],['Latin Counts']
Buffalo crime family,Cohen crime family,United States,,,1,1,1,1,['Chicago Outfit'],['Los Angeles crime family']
Cárteles Unidos,Los Ninis,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Beltrán-Leyva Organization']
Miri clan,Red Devils Motorcycle Club,Germany,Sweden,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Rockers Motor Club,Satudarah,Canada,Netherlands,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Gambino crime family,Tanglewood Boys,United States,United States,True,1,1,1,1,['Lucchese crime family'],['Genovese crime family']
C-Notes,Playboys,,,,1,1,1,1,['Taylor Street Jousters'],['Almighty Gaylords Nation']
